long_name,height_cm,weight_kg,age,overall,potential,sofifa_id,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Harry Kane,188,89,28,90,90,202126.0,ST, England,80,94.0,85.0,85.0,87.0,83,82,65,86,86,67,72,68,93,71,92,79,85,84,86,80,44,94,87.0,94.0,50,36,38,8.0,10.0,11.0,14.0,11.0
Raheem Sterling,170,69,27,88,88,202652.0,LW, England,80,85.0,46.0,83.0,67.0,89,79,72,69,85,94,86,94,92,93,78,57,79,65,80,59,30,90,83.0,70.0,47,53,47,15.0,12.0,12.0,15.0,9.0
Marcus Rashford,186,70,24,81,84,231677.0,SUB, England,75,79.0,68.0,76.0,73.0,83,82,76,70,81,84,91,84,80,74,92,74,76,71,78,69,39,77,76.0,85.0,40,38,33,11.0,6.0,15.0,7.0,14.0
Kieran Trippier,173,71,31,83,83,186345.0,SUB, England,86,54.0,79.0,81.0,58.0,74,89,87,80,82,73,68,73,81,79,79,78,86,64,70,73,80,76,80.0,68.0,79,81,80,11.0,14.0,8.0,11.0,10.0
Nick Pope,199,76,30,80,80,203841.0,SUB, England,11,14.0,11.0,29.0,14.0,15,13,12,52,24,50,47,36,75,42,55,72,37,75,15,36,21,13,50.0,22.0,14,15,14,79.0,81.0,73.0,80.0,81.0
Kalvin Phillips,178,72,26,83,87,224081.0,RCM, England,72,62.0,66.0,83.0,55.0,73,62,71,82,81,69,65,72,82,73,75,82,88,78,68,87,81,66,76.0,58.0,82,83,80,8.0,8.0,8.0,12.0,14.0
Eric Dier,190,90,28,79,80,202335.0,SUB, England,64,52.0,82.0,74.0,51.0,65,72,83,76,72,54,55,36,77,46,84,71,74,91,74,88,76,53,63.0,74.0,78,79,80,11.0,14.0,6.0,13.0,9.0
Conor Coady,186,80,29,80,80,202048.0,SUB, England,67,51.0,77.0,82.0,56.0,60,60,57,85,79,41,51,48,81,54,68,84,77,76,60,68,79,51,72.0,60.0,82,80,74,8.0,15.0,10.0,12.0,8.0
Bukayo Saka,178,65,20,81,88,246669.0,SUB, England,81,74.0,45.0,80.0,66.0,85,79,69,65,82,86,82,84,80,83,72,54,80,58,68,66,68,81,81.0,70.0,65,69,67,7.0,8.0,13.0,9.0,13.0
Trent Alexander-Arnold,180,69,23,84,87,231281.0,SUB, England,89,60.0,65.0,85.0,61.0,77,86,84,88,85,76,75,73,82,73,82,66,89,66,75,71,81,76,89.0,55.0,77,81,79,14.0,15.0,14.0,6.0,7.0
Mason Mount,180,74,23,83,89,233064.0,LCM, England,83,81.0,59.0,88.0,75.0,82,82,83,84,85,76,73,80,86,76,81,54,87,58,83,68,63,82,85.0,69.0,55,65,41,11.0,12.0,13.0,8.0,12.0
Philip Foden,171,69,22,85,93,237692.0,RW, England,80,73.0,47.0,87.0,59.0,88,77,74,81,92,87,79,92,85,91,82,49,83,47,77,64,59,82,88.0,64.0,58,59,47,8.0,15.0,6.0,10.0,13.0
Benjamin White,185,77,24,80,87,231936.0,RES, England,60,22.0,74.0,81.0,21.0,73,45,20,78,77,68,73,63,81,55,54,79,81,77,25,77,84,44,68.0,24.0,83,82,79,8.0,11.0,12.0,5.0,6.0
Jude Victor William Bellingham,186,75,19,81,88,252371.0,SUB, England,66,75.0,67.0,84.0,71.0,85,68,49,82,84,78,73,81,80,79,78,76,87,74,73,85,77,73,82.0,56.0,79,77,76,14.0,11.0,10.0,5.0,8.0
Aaron Ramsdale,191,77,24,79,84,233934.0,SUB, England,15,14.0,15.0,54.0,16.0,18,17,16,54,35,47,50,53,76,49,62,66,35,59,15,35,24,18,64.0,25.0,20,16,15,80.0,77.0,82.0,76.0,81.0
Callum Wilson,180,66,30,80,80,196978.0,RES, England,61,84.0,80.0,71.0,74.0,75,66,45,62,79,78,83,75,80,72,81,70,69,79,65,74,40,83,70.0,83.0,38,40,27,10.0,15.0,8.0,10.0,6.0
James Maddison,175,73,25,81,83,220697.0,SUB, England,82,73.0,35.0,84.0,71.0,84,87,86,83,85,77,70,86,77,83,83,51,76,53,80,68,44,78,84.0,74.0,59,65,42,11.0,14.0,14.0,12.0,14.0
Conor Gallagher,182,74,22,79,86,238216.0,RES, England,69,77.0,49.0,77.0,63.0,78,65,70,76,82,69,78,68,80,68,79,58,93,64,78,79,71,78,78.0,55.0,62,75,67,7.0,6.0,15.0,9.0,9.0
Alireza Safar Beiranvand,194,85,29,74,75,241790.0,GK, 111115,13,8.0,13.0,21.0,9.0,12,12,10,25,17,38,48,32,72,28,54,54,21,79,10,28,22,12,28.0,17.0,21,15,14,76.0,68.0,72.0,74.0,75.0
Sadegh Moharrami,174,71,26,71,73,244259.0,RB, 111115,59,26.0,56.0,61.0,21.0,67,39,27,55,68,82,79,75,64,84,34,79,74,48,27,61,71,57,51.0,38.0,67,74,72,6.0,13.0,7.0,14.0,9.0
Ehsan Haji Safi,178,81,32,72,72,194354.0,LB, 111115,74,56.0,65.0,73.0,54.0,70,70,69,70,74,72,76,70,70,81,78,67,86,73,75,66,76,68,70.0,64.0,72,71,64,10.0,8.0,12.0,13.0,12.0
Shojae Khalilzadeh,183,80,31,73,73,,, Al Raed,58,53.0,73.0,72.0,46.0,68,45,31,74,69,72,75,61,71,73,61,77,81,78,54,74,72,67,70.0,40.0,73,75,72,12.0,12.0,12.0,12.0,12.0
Milad Mohammadi Keshmarzi,178,68,28,72,72,233218.0,SUB, 111115,66,53.0,65.0,67.0,61.0,73,65,57,69,71,82,86,79,68,74,63,42,85,68,66,69,64,67,67.0,61.0,65,67,67,12.0,10.0,13.0,6.0,13.0
Saeid Ezatolahi Afagh,190,78,25,72,75,233241.0,LCM, 111115,66,59.0,62.0,71.0,55.0,70,55,56,76,75,72,67,62,73,66,70,55,83,79,58,76,75,65,70.0,50.0,70,72,64,14.0,10.0,15.0,7.0,14.0
Alireza Jahanbakhsh,181,78,28,76,76,215871.0,RM, 111115,77,73.0,65.0,74.0,74.0,78,72,70,69,74,75,79,78,75,75,82,84,75,68,81,68,42,71,80.0,66.0,45,37,40,13.0,11.0,9.0,7.0,7.0
Morteza Pouraliganji,185,83,30,69,69,227921.0,SUB, 111115,53,58.0,69.0,65.0,64.0,68,58,48,67,72,69,70,62,66,61,61,73,76,73,48,71,67,64,61.0,49.0,69,71,67,11.0,10.0,12.0,16.0,14.0
Mehdi Taremi,185,83,29,81,81,241788.0,LS, 111115,72,84.0,73.0,78.0,79.0,82,74,46,65,84,77,80,73,82,65,81,79,82,85,71,46,23,85,83.0,76.0,38,41,25,9.0,11.0,9.0,15.0,8.0
Karim Ansarifard,186,71,32,73,73,197136.0,SUB, 111115,59,79.0,78.0,75.0,75.0,72,68,56,63,69,73,79,72,73,69,82,74,73,78,73,66,59,80,68.0,75.0,38,56,48,8.0,14.0,9.0,15.0,12.0
Vahid Amiri,179,75,34,72,72,241785.0,LM, 111115,72,67.0,45.0,67.0,61.0,75,69,54,58,69,77,81,79,69,72,60,58,81,72,64,33,34,71,66.0,61.0,44,29,21,10.0,12.0,14.0,11.0,10.0
Seyed Payam Niazmand,194,84,27,68,71,263238.0,SUB, 111115,14,8.0,14.0,27.0,6.0,17,14,13,20,21,25,34,39,63,27,49,39,21,64,8,27,7,4,56.0,12.0,6,12,14,69.0,66.0,65.0,69.0,68.0
Hossein Kanaani,180,80,20,70,99,,,,66,42.0,37.0,58.0,66.0,74,69,72,65,75,59,68,77,76,53,88,74,54,59,41,58,67,66,,,9,15,10,,,,,
Saman Ghoddos,175,79,28,69,69,231949.0,SUB, 111115,67,70.0,64.0,72.0,68.0,67,65,72,64,73,63,60,68,68,70,78,58,68,67,73,65,46,69,70.0,62.0,54,52,44,10.0,11.0,6.0,13.0,9.0
Mehdi Torabi,180,71,27,67,67,241784.0,SUB, 111115,62,62.0,40.0,57.0,58.0,71,45,43,42,60,82,75,72,73,67,67,45,68,59,64,38,25,73,61.0,52.0,41,25,26,12.0,8.0,9.0,15.0,6.0
Ali Gholizadeh,176,69,26,72,73,243551.0,SUB, 111115,65,68.0,34.0,67.0,58.0,75,67,65,65,75,79,73,76,70,79,72,78,80,66,69,62,43,69,70.0,55.0,49,55,47,14.0,12.0,13.0,10.0,8.0
Ali Karimi,185,79,28,69,69,241793.0,SUB, 111115,63,63.0,68.0,73.0,61.0,72,63,63,68,73,71,64,61,66,66,68,67,75,64,68,59,48,73,72.0,61.0,53,61,53,6.0,14.0,13.0,9.0,5.0
Seyed Majid Hosseini,187,76,26,70,74,243549.0,SUB, 111115,28,22.0,70.0,64.0,22.0,42,35,37,58,59,63,69,55,65,67,46,75,73,78,30,66,69,27,30.0,40.0,71,74,70,6.0,13.0,12.0,12.0,13.0
Sardar Azmoun,186,78,27,81,82,213955.0,RS, 111115,64,86.0,84.0,77.0,82.0,75,71,50,63,83,79,77,77,81,76,77,90,68,78,72,69,34,85,75.0,70.0,39,33,32,6.0,10.0,14.0,9.0,15.0
Ahmad Noorollahi,185,74,29,74,74,268853.0,RCM, 111115,53,69.0,64.0,76.0,67.0,72,61,68,74,77,66,70,58,68,62,74,60,82,72,73,64,69,72,74.0,65.0,69,73,66,13.0,12.0,5.0,7.0,15.0
Amir Abedzadeh,186,86,29,72,73,237419.0,SUB, 111115,12,10.0,13.0,24.0,12.0,10,13,14,47,15,30,25,53,70,36,50,55,21,60,11,26,14,10,50.0,11.0,13,14,14,71.0,69.0,67.0,72.0,72.0
Ramin Rezaeian,184,80,32,70,70,239675.0,SUB, 111115,76,52.0,58.0,69.0,63.0,68,74,71,71,69,73,70,64,68,56,73,70,68,72,70,71,68,65,67.0,68.0,66,67,66,8.0,11.0,11.0,9.0,7.0
Hossein Hosseini,194,86,30,67,67,,,,18,15.0,14.0,22.0,28.0,35,37,31,64,30,37,28,30,35,22,31,21,11,17,18,21,20,22,,,64,65,66,,,,,
Abolfazl Jalali,177,62,24,70,75,,, 111115,62,60.0,63.0,66.0,42.0,72,40,34,61,72,85,87,66,60,46,72,74,79,77,66,85,65,61,56.0,44.0,58,69,65,13.0,10.0,7.0,11.0,11.0
Matthew Charles Turner,190,79,28,79,82,233267.0,GK, United States,13,15.0,14.0,24.0,16.0,16,13,14,29,24,38,39,48,80,42,50,55,35,64,18,25,27,15,55.0,14.0,11,11,11,78.0,75.0,67.0,81.0,79.0
Sergiño Gianni Dest,173,62,21,79,87,251804.0,RB, United States,75,66.0,60.0,82.0,55.0,83,72,55,69,80,89,83,88,75,80,78,55,79,59,72,68,77,75,72.0,50.0,68,78,74,11.0,10.0,10.0,15.0,15.0
Walker Dwain Zimmerman,190,89,29,77,78,212591.0,RCB, United States,39,52.0,88.0,69.0,49.0,48,33,38,68,64,60,68,49,76,51,57,85,79,87,40,83,72,48,44.0,56.0,76,78,70,13.0,14.0,8.0,10.0,9.0
Tyler Shaan Adams,175,72,23,78,82,232999.0,CDM, United States,55,48.0,65.0,79.0,33.0,70,52,42,74,78,86,75,84,77,85,51,84,90,68,46,79,74,65,72.0,51.0,72,80,72,6.0,13.0,12.0,8.0,7.0
Antonee Robinson,182,70,24,76,79,229348.0,LB, United States,72,68.0,59.0,64.0,70.0,74,67,45,60,71,88,88,76,71,69,66,75,78,68,43,74,74,75,62.0,45.0,75,75,70,12.0,9.0,15.0,14.0,9.0
Yunus Dimoara Musah,177,73,19,73,83,253177.0,SUB, United States,66,68.0,54.0,78.0,55.0,82,68,60,69,75,87,87,75,72,66,77,64,75,69,73,59,70,75,66.0,60.0,66,65,59,15.0,6.0,14.0,6.0,10.0
Giovanni Alejandro Reyna,185,79,19,78,88,245541.0,SUB, United States,75,72.0,45.0,79.0,80.0,85,82,70,64,80,78,78,87,70,80,78,72,75,75,76,57,33,70,78.0,70.0,35,35,37,10.0,13.0,14.0,12.0,7.0
Weston James Earl McKennie,185,84,23,81,86,238744.0,RCM, United States,68,74.0,80.0,82.0,75.0,80,68,63,80,80,81,82,75,79,69,74,92,86,81,73,80,79,82,84.0,61.0,82,82,75,7.0,9.0,12.0,9.0,11.0
Jesús David Ferreira Castro,175,64,21,75,85,241487.0,ST, United States,68,77.0,70.0,78.0,75.0,70,66,55,65,73,84,84,82,82,86,72,76,78,56,71,55,33,77,74.0,65.0,39,53,39,13.0,12.0,12.0,13.0,6.0
Christian Pulisic,177,69,23,84,90,227796.0,LW, United States,74,80.0,50.0,77.0,70.0,88,70,78,59,85,93,88,90,78,88,77,79,76,54,67,45,44,85,80.0,61.0,48,32,47,8.0,12.0,13.0,16.0,14.0
Brenden Russell Aaronson,177,66,21,81,89,247361.0,LCM, United States,78,72.0,40.0,75.0,59.0,82,67,67,70,80,88,81,85,88,83,68,75,92,55,72,54,52,85,85.0,63.0,65,60,46,12.0,13.0,7.0,7.0,13.0
Ethan Shea Horvath,193,83,27,72,75,219736.0,SUB, United States,11,17.0,13.0,31.0,14.0,16,16,17,30,30,48,49,54,70,32,45,64,30,64,19,27,10,11,50.0,11.0,14,9,8,79.0,68.0,60.0,62.0,78.0
Timothy Michael Ream,185,80,34,69,69,198261.0,RES, United States,61,40.0,69.0,65.0,51.0,66,65,52,69,70,53,60,66,62,66,48,72,60,72,40,63,74,40,67.0,49.0,70,71,62,15.0,14.0,15.0,8.0,10.0
Luca Daniel de la Torre,178,67,24,72,78,229379.0,SUB, United States,66,60.0,42.0,78.0,52.0,73,66,60,75,75,77,64,76,66,81,58,56,92,51,62,54,57,68,69.0,61.0,63,60,59,11.0,14.0,12.0,7.0,10.0
Aaron Long,188,86,29,75,75,222123.0,LCB, United States,38,39.0,85.0,70.0,36.0,62,36,34,64,68,84,81,72,70,61,48,91,75,85,31,76,70,52,59.0,39.0,70,73,70,10.0,12.0,13.0,6.0,12.0
Jordan Morris,183,84,27,73,73,226035.0,SUB, United States,60,71.0,69.0,75.0,61.0,75,48,53,70,75,82,87,79,65,71,82,85,68,85,61,79,32,75,66.0,72.0,42,30,27,15.0,9.0,8.0,14.0,8.0
Cristian Roldán León,172,75,27,75,76,226807.0,SUB, United States,66,64.0,64.0,78.0,56.0,74,72,75,73,74,74,73,77,79,84,76,90,92,74,73,78,68,72,75.0,65.0,70,73,70,13.0,7.0,12.0,16.0,11.0
Shaquell Moore,180,74,25,72,75,232120.0,SUB, United States,73,59.0,55.0,66.0,45.0,66,67,39,58,73,89,90,82,69,66,64,89,85,78,58,56,62,68,56.0,56.0,60,63,66,6.0,15.0,11.0,13.0,12.0
Haji Wright,191,90,24,71,77,238743.0,RES, United States,57,74.0,61.0,60.0,62.0,71,59,50,41,65,71,81,63,70,45,77,70,71,91,60,38,12,72,53.0,70.0,20,20,18,5.0,15.0,12.0,8.0,9.0
Cameron Carter-Vickers,185,92,24,76,83,228174.0,SUB, United States,37,29.0,72.0,73.0,60.0,59,59,40,65,65,78,80,70,68,66,60,78,72,87,55,78,73,27,48.0,48.0,75,80,70,13.0,6.0,8.0,16.0,10.0
Timothy Tarpeh Weah,182,66,22,77,84,241496.0,RW, United States,69,72.0,67.0,71.0,71.0,79,74,53,70,81,87,88,88,72,70,73,68,70,64,69,52,50,78,72.0,60.0,49,44,38,7.0,9.0,12.0,15.0,14.0
DeAndre Roselle Yedlin,171,75,28,72,72,212722.0,SUB, United States,58,40.0,60.0,68.0,60.0,62,70,28,62,60,89,91,90,71,83,73,92,70,67,51,78,71,68,57.0,38.0,71,70,65,7.0,15.0,7.0,11.0,11.0
Kellyn Kai Perry-Acosta,177,68,26,72,75,213209.0,SUB, United States,68,60.0,66.0,73.0,55.0,71,77,73,67,72,76,76,74,73,72,79,84,90,70,73,78,69,66,66.0,66.0,65,68,63,12.0,7.0,12.0,8.0,7.0
Joshua Thomas Sargent,185,79,22,70,75,242075.0,SUB, United States,58,70.0,66.0,65.0,67.0,67,62,56,59,66,75,73,76,70,68,73,73,86,75,65,73,50,74,62.0,59.0,42,42,33,8.0,7.0,9.0,8.0,9.0
Sean Everet Johnson,190,98,33,72,72,190780.0,SUB, United States,13,12.0,14.0,43.0,17.0,19,13,19,46,20,42,43,44,73,52,53,71,35,72,20,30,18,13,35.0,16.0,16,15,15,70.0,67.0,70.0,70.0,76.0
Joseph Scally,184,80,19,73,84,243133.0,RES, United States,76,43.0,61.0,67.0,45.0,71,60,44,58,69,83,79,79,66,77,52,60,73,67,49,69,67,57,58.0,39.0,67,73,72,12.0,7.0,10.0,10.0,10.0
Wayne Robert Hennessey,198,90,35,75,75,170084.0,SUB, Wales,11,12.0,14.0,29.0,10.0,8,12,11,41,23,40,41,48,68,51,56,41,29,68,10,21,22,14,58.0,17.0,13,18,13,76.0,74.0,75.0,73.0,74.0
Christopher Ross Gunter,180,71,32,66,66,173752.0,SUB, Wales,60,44.0,58.0,59.0,52.0,55,56,23,58,60,61,64,71,65,66,48,65,69,67,41,62,65,59,58.0,47.0,68,65,66,12.0,8.0,16.0,16.0,9.0
Neco Williams,183,72,21,76,87,243057.0,LWB, Wales,77,43.0,52.0,74.0,36.0,76,52,39,65,74,74,76,75,74,78,52,61,69,56,43,61,73,52,54.0,45.0,72,74,72,10.0,11.0,7.0,14.0,15.0
Benjamin Thomas Davies,181,76,29,81,81,205923.0,LCB, Wales,71,58.0,76.0,77.0,48.0,70,72,48,75,77,68,73,67,87,69,65,79,78,73,52,83,82,60,65.0,54.0,85,85,84,11.0,7.0,6.0,7.0,14.0
Christopher James Mepham,190,75,24,76,79,233201.0,SUB, Wales,38,32.0,80.0,66.0,33.0,58,41,35,63,64,54,64,51,75,64,52,76,65,80,32,79,76,39,53.0,44.0,75,78,75,10.0,10.0,12.0,14.0,12.0
Joe Rodon,193,76,24,77,84,229266.0,CB, Wales,34,23.0,77.0,72.0,34.0,55,25,32,60,65,54,67,47,77,55,43,75,67,78,24,75,81,23,31.0,40.0,77,78,76,10.0,13.0,7.0,11.0,8.0
Joseph Michael Allen,170,62,32,75,75,184716.0,LCM, Wales,67,60.0,52.0,78.0,54.0,68,66,59,74,76,67,61,82,75,91,67,81,77,51,56,74,76,64,69.0,60.0,75,71,69,10.0,13.0,12.0,6.0,8.0
Harry Wilson,173,70,25,79,82,220710.0,SUB, Wales,77,76.0,51.0,81.0,74.0,79,86,85,69,81,81,75,81,78,84,83,43,75,56,84,45,40,76,81.0,78.0,48,45,40,7.0,13.0,9.0,15.0,7.0
Brennan Price Johnson,179,71,21,75,85,251421.0,SUB, Wales,71,73.0,51.0,68.0,62.0,79,64,52,64,75,86,88,86,68,66,68,40,80,52,67,53,23,68,70.0,64.0,41,42,53,14.0,7.0,13.0,5.0,13.0
Aaron James Ramsey,183,76,31,81,81,186561.0,RCM, Wales,71,77.0,55.0,84.0,75.0,79,79,70,81,84,54,67,68,84,78,76,63,74,65,79,68,72,80,83.0,75.0,68,70,67,6.0,11.0,5.0,10.0,8.0
Gareth Frank Bale,186,82,32,87,87,173731.0,RW, Wales,87,89.0,84.0,83.0,85.0,88,92,91,79,87,80,86,83,85,64,91,85,67,76,92,62,53,83,82.0,84.0,50,53,50,15.0,15.0,11.0,5.0,6.0
Danny Ward,191,88,29,76,76,207998.0,GK, Wales,13,11.0,13.0,30.0,13.0,19,15,14,42,23,46,44,38,73,53,50,67,22,60,16,32,20,7,38.0,20.0,8,20,18,77.0,73.0,67.0,74.0,79.0
Kieffer Roberto Francisco Moore,196,83,29,75,75,216627.0,ST, Wales,58,76.0,84.0,58.0,69.0,68,62,45,55,73,63,77,52,75,50,78,75,66,91,58,73,42,76,54.0,67.0,39,44,39,10.0,10.0,13.0,8.0,9.0
Connor Roberts,175,76,26,77,78,225147.0,RWB, Wales,75,54.0,57.0,73.0,48.0,71,53,47,58,74,79,77,71,70,70,60,69,91,68,56,74,73,61,62.0,41.0,71,73,69,6.0,12.0,8.0,12.0,13.0
Ethan Kwame Colm Raymond Ampadu,183,78,21,76,85,235735.0,RCB, Wales,46,51.0,73.0,76.0,35.0,68,47,36,69,73,70,68,67,76,68,58,87,74,72,47,79,76,53,68.0,39.0,77,77,73,13.0,12.0,9.0,8.0,12.0
Joseff John Morrell,168,63,25,74,76,220677.0,SUB, Wales,62,54.0,36.0,78.0,45.0,71,65,66,74,77,74,70,89,76,92,55,67,84,38,66,45,74,61,74.0,58.0,55,63,47,7.0,8.0,14.0,7.0,11.0
Thomas Alun Lockyer,185,72,27,69,71,211363.0,RES, Wales,45,38.0,70.0,61.0,21.0,53,44,30,62,61,69,64,68,64,64,37,83,77,79,34,76,66,38,49.0,39.0,68,71,66,15.0,13.0,14.0,9.0,7.0
Jonathan Peter Williams,168,60,28,64,64,198776.0,RES, Wales,63,57.0,43.0,67.0,51.0,65,52,42,65,64,65,63,88,64,90,60,58,65,36,61,55,55,61,65.0,59.0,51,56,52,8.0,16.0,11.0,10.0,9.0
Mark Thomas Harris,182,75,23,67,72,237833.0,SUB, Wales,55,65.0,61.0,64.0,60.0,68,49,45,57,67,80,82,79,69,73,61,73,74,68,56,54,24,68,65.0,52.0,40,42,48,8.0,9.0,13.0,8.0,12.0
Daniel James,171,76,24,78,81,232104.0,LW, Wales,74,75.0,50.0,73.0,58.0,79,74,54,58,76,96,95,85,77,82,77,74,84,54,68,79,42,74,73.0,64.0,54,45,34,7.0,6.0,11.0,15.0,9.0
Adam Rhys Davies,185,80,29,69,69,200715.0,SUB, Wales,12,11.0,16.0,25.0,13.0,12,16,18,13,16,40,40,39,64,40,49,46,29,47,15,31,15,8,40.0,23.0,18,16,13,70.0,66.0,65.0,70.0,71.0
Sorba Thomas,185,75,23,72,79,260478.0,SUB, Wales,77,64.0,43.0,70.0,55.0,72,74,66,61,69,88,84,73,68,69,65,48,80,57,63,57,46,66,69.0,53.0,52,54,37,14.0,7.0,11.0,7.0,6.0
Dylan James Christopher Levitt,180,73,21,66,79,243349.0,RES, Wales,61,60.0,37.0,72.0,55.0,65,62,50,69,70,68,62,77,62,69,62,47,66,64,63,59,62,59,68.0,63.0,60,60,58,7.0,10.0,7.0,6.0,13.0
Benjamin Cabango,186,81,22,70,80,248687.0,SUB, Wales,31,24.0,68.0,61.0,26.0,38,29,25,39,56,60,67,45,69,56,36,77,63,79,26,70,71,27,29.0,38.0,67,73,71,8.0,11.0,7.0,9.0,9.0
Rubin James Colwill,189,79,20,67,79,257437.0,SUB, Wales,51,65.0,61.0,66.0,55.0,67,57,60,59,68,74,73,62,65,55,69,62,65,73,68,55,33,67,65.0,45.0,29,48,44,6.0,13.0,7.0,12.0,14.0
Matthew Robert Smith,175,71,22,66,77,233050.0,SUB, Wales,62,55.0,48.0,70.0,38.0,66,64,56,68,67,69,72,81,65,77,62,68,75,67,57,65,63,62,66.0,45.0,61,62,59,13.0,6.0,11.0,12.0,11.0
Franco Armani,189,88,35,80,80,214584.0,SUB, Argentina,18,11.0,19.0,35.0,18.0,16,15,16,29,37,41,45,37,78,39,55,65,35,81,17,43,21,17,54.0,20.0,15,13,19,78.0,74.0,73.0,80.0,85.0
Franco Armani,189,88,35,80,80,214584.0,SUB, Argentina,18,11.0,19.0,35.0,18.0,16,15,16,29,37,41,45,37,78,39,55,65,35,81,17,43,21,17,54.0,20.0,15,13,19,78.0,74.0,73.0,80.0,85.0
Nicolás Alejandro Tagliafico,172,65,29,81,81,211256.0,SUB, Argentina,75,57.0,82.0,76.0,44.0,73,66,40,75,76,79,80,77,81,82,65,88,86,75,46,84,79,69,69.0,46.0,80,79,80,13.0,9.0,10.0,15.0,16.0
Gonzalo Ariel Montiel,175,70,25,79,82,231340.0,RES, Argentina,74,56.0,70.0,73.0,41.0,73,59,39,66,74,84,83,82,76,75,65,80,93,72,59,87,78,77,70.0,75.0,76,75,73,6.0,10.0,11.0,5.0,6.0
Leandro Daniel Paredes,180,75,28,83,83,207439.0,CDM, Argentina,79,66.0,60.0,84.0,71.0,79,80,78,87,82,65,63,66,77,73,88,65,79,77,79,91,79,78,86.0,64.0,84,77,80,9.0,14.0,6.0,9.0,10.0
Germán Alejandro Pezzella,187,81,31,79,79,193601.0,RES, Argentina,40,48.0,81.0,70.0,40.0,54,46,32,56,67,51,49,32,74,43,54,82,51,83,50,75,80,47,22.0,35.0,83,81,79,7.0,9.0,13.0,10.0,15.0
Rodrigo Javier De Paul,180,70,28,86,86,212616.0,RCM, Argentina,78,77.0,58.0,87.0,71.0,84,84,76,87,86,80,76,78,84,80,81,68,91,80,79,76,79,85,88.0,66.0,71,83,75,13.0,12.0,10.0,7.0,14.0
Marcos Javier Acuña,172,69,30,84,84,224334.0,LB, Argentina,85,66.0,60.0,84.0,68.0,85,88,75,78,86,77,76,83,84,90,82,63,91,80,81,84,80,81,82.0,76.0,81,85,84,8.0,14.0,13.0,13.0,14.0
Julián Álvarez,170,71,22,79,86,246191.0,RES, Argentina,75,80.0,68.0,73.0,78.0,82,80,74,74,83,85,80,87,78,87,84,69,81,70,80,83,46,82,81.0,73.0,60,53,46,6.0,10.0,8.0,15.0,6.0
Lionel Andrés Messi Cuccittini,169,67,35,91,91,158023.0,RW, Argentina,84,90.0,70.0,91.0,88.0,95,93,93,80,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94.0,75.0,20,35,24,6.0,11.0,15.0,14.0,8.0
Ángel Fabián Di María Hernández,180,69,34,85,85,183898.0,LW, Argentina,85,78.0,51.0,82.0,79.0,88,92,88,81,87,80,78,91,83,75,84,70,74,61,85,73,42,84,87.0,73.0,41,55,52,10.0,7.0,11.0,12.0,11.0
Gerónimo Rulli,189,84,30,80,80,215316.0,RES, Argentina,12,15.0,12.0,36.0,16.0,14,19,20,30,15,56,52,58,77,50,58,65,42,73,17,26,21,12,62.0,24.0,15,13,17,81.0,78.0,77.0,79.0,80.0
Cristian Gabriel Romero,185,79,24,85,90,232488.0,RCB, Argentina,42,48.0,84.0,75.0,52.0,59,54,38,64,73,75,72,72,82,68,51,85,79,82,36,94,82,43,41.0,40.0,88,88,87,5.0,7.0,11.0,10.0,14.0
Exequiel Alejandro Palacios,177,67,23,79,84,231521.0,RES, Argentina,67,70.0,59.0,83.0,63.0,79,68,51,81,80,74,60,78,70,79,81,70,84,65,76,78,80,77,78.0,63.0,73,75,76,10.0,5.0,8.0,9.0,6.0
Ángel Martín Correa,171,70,27,83,84,,SUB, Atlético Madrid,83,,,,,75,86,71,80,80,87,82,66,68,87,86,85,90,84,88,83,51,84,69.0,86.0,79,48,86,42.0,53.0,44.0,,
Thiago Ezequiel Almada,171,62,21,76,87,,LCM, Atlanta United,64,71.0,39.0,74.0,73.0,82,83,65,68,79,90,81,92,72,93,75,56,74,55,72,64,58,68,72.0,77.0,47,57,53,12.0,8.0,9.0,8.0,10.0
Alejandro Darío Gómez,167,68,34,83,83,143076.0,LCM, Argentina,83,77.0,38.0,83.0,72.0,83,85,79,78,84,89,81,90,80,93,79,67,71,44,82,56,40,78,83.0,72.0,50,30,34,8.0,11.0,12.0,9.0,6.0
Guido Rodríguez,185,80,27,81,82,225659.0,SUB, Argentina,59,43.0,73.0,81.0,47.0,70,49,50,75,75,52,50,42,75,45,77,35,76,79,69,83,85,68,71.0,53.0,84,86,84,12.0,11.0,14.0,16.0,6.0
Nicolás Hernán Gonzalo Otamendi,182,78,34,84,84,192366.0,LCB, Argentina,52,54.0,79.0,75.0,57.0,51,50,39,73,69,63,67,58,79,58,69,88,75,83,56,93,88,48,55.0,45.0,87,86,84,12.0,5.0,8.0,11.0,12.0
