long_name,height_cm,weight_kg,age,overall,potential,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,year
Clayton Rhys Lewis,173,72,23,60,68,SUB,New Zealand,51,52.0,42.0,62.0,51.0,62,60,64,57,62,73,67,76,55,81,57,55,54,49,56,49,49,53,58.0,58.0,45,42,39,15.0,12.0,11.0,6.0,13.0,2021
Andre Ernest De Jong,181,73,23,60,67,SUB,New Zealand,54,63.0,60.0,60.0,43.0,58,33,32,58,60,62,66,56,56,65,51,65,62,69,50,44,23,65,56.0,58.0,28,20,16,10.0,10.0,13.0,13.0,7.0,2021
Attana Deshpande,180,76,39,60,60,LM,India,59,59.0,41.0,60.0,64.0,65,64,68,61,61,51,53,72,58,72,61,77,46,51,57,38,55,60,64.0,57.0,40,26,15,6.0,11.0,8.0,6.0,10.0,2021
Bismeet Sidhu,171,68,32,60,60,CDM,India,55,45.0,55.0,62.0,47.0,58,50,52,61,64,68,64,72,61,78,65,81,75,55,55,43,59,52,63.0,46.0,57,53,48,12.0,12.0,11.0,8.0,12.0,2021
Nando Zen Pijnaker,192,81,21,60,70,SUB,New Zealand,27,21.0,59.0,58.0,25.0,46,30,22,53,59,61,54,49,53,45,38,63,64,72,21,55,58,38,50.0,33.0,61,61,58,11.0,12.0,13.0,12.0,13.0,2021
Maxime Teremoana Crocombe,194,88,26,59,62,SUB,New Zealand,24,14.0,23.0,32.0,20.0,16,19,21,31,21,46,49,54,55,42,42,57,38,58,19,41,25,12,31.0,21.0,10,21,21,59.0,57.0,56.0,57.0,60.0,2021
Tapish Atwal,181,77,36,59,59,RCB,India,54,37.0,63.0,60.0,42.0,38,58,43,57,42,43,49,52,53,56,59,70,58,75,51,59,54,38,48.0,43.0,60,58,57,12.0,10.0,7.0,8.0,15.0,2021
Remil Nadkarni,180,70,34,59,59,SUB,India,59,58.0,55.0,60.0,60.0,60,58,59,59,65,61,67,68,51,69,57,76,71,64,51,43,23,55,59.0,60.0,23,20,21,12.0,8.0,13.0,9.0,10.0,2021
Amanpreet Varkay,179,71,34,59,59,SUB,India,53,38.0,51.0,55.0,22.0,55,34,35,49,59,74,71,68,48,53,21,82,73,67,17,75,54,37,44.0,40.0,55,55,53,12.0,6.0,10.0,13.0,14.0,2021
Vihaan Boral,183,77,30,59,59,SUB,India,13,13.0,15.0,26.0,20.0,19,13,14,22,21,42,42,32,51,57,41,55,50,66,12,19,22,19,12.0,25.0,14,15,19,56.0,60.0,54.0,61.0,60.0,2021
Anuvinda Khurana,186,81,27,59,61,SUB,India,34,21.0,57.0,53.0,24.0,38,32,25,42,45,51,57,39,53,42,42,63,59,79,37,64,59,27,34.0,36.0,58,58,55,15.0,8.0,10.0,12.0,15.0,2021
Dinkerrai Bajwa,182,72,39,59,59,SUB,India,50,35.0,61.0,59.0,23.0,51,39,41,60,60,58,60,57,56,59,41,63,48,70,33,63,51,47,54.0,44.0,59,62,60,15.0,12.0,12.0,11.0,12.0,2021
Taranjot Agarwal,173,68,34,58,58,SUB,India,54,51.0,50.0,51.0,47.0,57,60,48,51,60,71,68,75,51,76,58,67,67,58,52,48,59,51,57.0,49.0,48,57,52,16.0,14.0,15.0,12.0,14.0,2021
Diasha Sundaram,186,81,31,58,58,SUB,India,42,54.0,55.0,52.0,13.0,33,38,32,51,48,58,61,41,57,57,63,67,60,77,30,60,51,28,28.0,55.0,57,59,57,11.0,15.0,10.0,14.0,6.0,2021
Palkesh Nagarajan,189,87,30,58,59,SUB,India,11,15.0,11.0,22.0,8.0,13,14,13,33,21,50,50,48,51,28,38,74,28,66,13,57,26,18,36.0,35.0,20,11,14,59.0,61.0,51.0,57.0,56.0,2021
Randhir Jayaraman,180,82,35,58,58,SUB,India,53,60.0,64.0,55.0,54.0,52,51,59,43,50,57,62,57,50,68,60,79,61,76,57,78,26,61,51.0,65.0,20,38,15,15.0,12.0,8.0,15.0,8.0,2021
Filip Yavorov Krastev,172,63,18,58,75,SUB,Bulgaria,53,48.0,25.0,63.0,52.0,58,57,58,60,59,67,63,73,49,53,43,37,56,31,46,48,42,49,62.0,21.0,39,36,38,11.0,14.0,13.0,12.0,7.0,2021
Chapal Palan,181,69,29,57,57,LCM,India,60,38.0,59.0,58.0,46.0,51,53,51,57,55,68,68,66,60,68,60,64,69,64,51,76,59,55,57.0,47.0,61,57,62,13.0,11.0,11.0,13.0,12.0,2021
Omesh Patla,167,69,27,57,58,SUB,India,57,51.0,48.0,59.0,53.0,55,61,64,51,58,79,76,81,48,89,61,58,70,33,49,67,54,52,57.0,49.0,38,54,47,14.0,11.0,13.0,7.0,13.0,2021
Dhwanil Singhal,177,71,35,57,57,SUB,India,49,45.0,54.0,50.0,51.0,54,47,41,51,51,68,67,59,53,59,59,60,80,67,58,61,56,40,54.0,38.0,55,59,55,9.0,15.0,7.0,6.0,15.0,2021
Stanislav Rabotov,177,66,18,57,75,SUB,Bulgaria,33,32.0,42.0,53.0,42.0,38,30,36,47,51,66,62,67,63,63,34,64,67,58,31,54,62,41,52.0,41.0,59,58,58,15.0,12.0,9.0,11.0,5.0,2021
杨帆,182,75,24,54,62,SUB,China PR,56,25.0,47.0,53.0,20.0,61,29,31,56,51,57,64,51,52,73,34,53,66,56,35,50,53,51,39.0,39.0,54,60,58,6.0,10.0,14.0,7.0,13.0,2021
Cristiano Ronaldo dos Santos Aveiro,187,83,34,93,93,LS,Portugal,84,94.0,89.0,83.0,87.0,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82.0,85.0,28,32,24,7.0,11.0,15.0,14.0,11.0,2020
Neymar da Silva Santos Júnior,175,68,27,92,92,LW,Brazil,87,87.0,62.0,87.0,87.0,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90.0,90.0,27,26,29,9.0,9.0,15.0,15.0,11.0,2020
Eden Hazard,175,74,28,91,91,LF,Belgium,81,84.0,61.0,89.0,83.0,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89.0,88.0,34,27,22,11.0,12.0,6.0,8.0,8.0,2020
Kevin De Bruyne,181,70,28,91,91,RCM,Belgium,93,82.0,55.0,92.0,82.0,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94.0,79.0,68,58,51,15.0,13.0,5.0,10.0,13.0,2020
Jan Oblak,188,87,26,91,93,GK,Slovenia,13,11.0,15.0,43.0,13.0,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65.0,11.0,27,12,18,87.0,92.0,78.0,90.0,89.0,2020
Marc-André ter Stegen,187,85,27,90,93,SUB,Germany,18,14.0,11.0,61.0,14.0,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70.0,25.0,25,13,10,88.0,85.0,88.0,88.0,90.0,2020
Virgil van Dijk,193,92,27,90,91,LCB,Netherlands,53,52.0,86.0,78.0,45.0,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65.0,62.0,91,92,85,13.0,10.0,13.0,11.0,11.0,2020
Mohamed Salah Ghaly,175,71,27,90,90,RW,Egypt,79,90.0,59.0,84.0,79.0,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84.0,77.0,38,43,41,14.0,14.0,9.0,11.0,14.0,2020
Giorgio Chiellini,187,85,34,89,89,LCB,Italy,54,33.0,83.0,65.0,45.0,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50.0,50.0,94,91,89,3.0,3.0,2.0,4.0,3.0,2020
Sergio Leonel Agüero del Castillo,173,70,31,89,89,ST,Argentina,70,93.0,78.0,83.0,85.0,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83.0,83.0,30,29,24,13.0,15.0,6.0,11.0,14.0,2020
Sergio Ramos García,184,82,33,89,89,RCB,Spain,66,63.0,92.0,80.0,69.0,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71.0,86.0,85,87,90,11.0,8.0,9.0,7.0,11.0,2020
Robert Lewandowski,184,80,30,89,89,LS,Poland,62,88.0,85.0,82.0,88.0,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77.0,86.0,34,42,19,15.0,6.0,12.0,8.0,10.0,2020
Sergio Busquets i Burgos,189,76,30,89,89,CDM,Spain,62,67.0,68.0,89.0,44.0,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86.0,60.0,90,86,80,5.0,8.0,13.0,9.0,13.0,2020
David De Gea Quintana,192,82,28,89,90,GK,Spain,17,13.0,21.0,50.0,13.0,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65.0,29.0,25,21,13,90.0,84.0,81.0,85.0,92.0,2020
Antoine Griezmann,176,73,28,89,89,CAM,France,83,89.0,84.0,85.0,87.0,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86.0,86.0,59,54,49,14.0,8.0,14.0,13.0,14.0,2020
Harry Kane,188,89,25,89,91,ST,England,75,94.0,86.0,81.0,85.0,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81.0,90.0,56,36,38,8.0,10.0,11.0,14.0,11.0,2020
N'Golo Kanté,168,72,28,89,90,LDM,France,68,65.0,54.0,86.0,56.0,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79.0,54.0,90,91,85,15.0,12.0,10.0,7.0,10.0,2020
Kylian Mbappé Lottin,178,73,20,89,95,RM,France,78,89.0,77.0,82.0,79.0,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80.0,70.0,34,34,32,13.0,5.0,7.0,11.0,6.0,2020
Manuel Peter Neuer,193,92,33,88,88,GK,Germany,15,13.0,25.0,55.0,11.0,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70.0,47.0,17,10,11,87.0,87.0,91.0,85.0,87.0,2020
Hugo Lloris,188,82,32,88,88,GK,France,13,10.0,10.0,50.0,11.0,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30.0,40.0,29,10,18,89.0,82.0,68.0,84.0,91.0,2020
Toni Kroos,183,76,29,88,88,SUB,Germany,88,75.0,58.0,91.0,82.0,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89.0,73.0,72,70,62,10.0,11.0,13.0,7.0,10.0,2020
Marco Reus,180,71,30,88,88,ST,Germany,82,87.0,49.0,86.0,90.0,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86.0,90.0,49,37,45,12.0,12.0,13.0,13.0,11.0,2020
Christian Dannemann Eriksen,181,76,27,88,89,CAM,Denmark,88,77.0,52.0,91.0,80.0,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92.0,67.0,59,57,22,9.0,14.0,7.0,7.0,6.0,2020
Thibaut Courtois,199,96,27,88,89,GK,Belgium,14,14.0,13.0,33.0,12.0,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44.0,27.0,20,18,16,85.0,89.0,72.0,85.0,87.0,2020
Paul Pogba,191,84,26,88,91,RDM,France,80,75.0,75.0,86.0,84.0,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88.0,83.0,63,67,65,5.0,6.0,2.0,4.0,3.0,2020
Raheem Sterling,170,69,24,88,90,LW,England,78,83.0,38.0,84.0,67.0,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79.0,69.0,47,53,47,15.0,12.0,12.0,15.0,9.0,2020
Paulo Bruno Exequiel Dybala,177,75,25,88,92,CF,Argentina,82,80.0,64.0,87.0,88.0,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87.0,86.0,32,48,40,5.0,4.0,4.0,5.0,8.0,2020
Jan Vertonghen,189,86,32,87,87,LCB,Belgium,72,56.0,80.0,79.0,52.0,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68.0,66.0,89,87,88,6.0,10.0,9.0,12.0,7.0,2020
Dries Mertens,169,61,32,87,87,RF,Belgium,79,86.0,40.0,82.0,70.0,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83.0,79.0,25,40,40,7.0,10.0,8.0,10.0,4.0,2020
Toby Alderweireld,186,81,30,87,87,RCB,Belgium,64,45.0,82.0,79.0,38.0,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62.0,58.0,90,90,86,16.0,6.0,14.0,16.0,14.0,2020
Jordi Alba Ramos,170,68,30,87,87,LB,Spain,87,73.0,70.0,84.0,60.0,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78.0,59.0,74,83,84,13.0,15.0,13.0,6.0,13.0,2020
Thiago Alcântara do Nascimento,174,70,28,87,87,RCM,Spain,78,69.0,54.0,90.0,86.0,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86.0,75.0,67,67,71,6.0,11.0,7.0,9.0,13.0,2020
Lorenzo Insigne,163,59,28,87,87,LW,Italy,86,77.0,59.0,87.0,74.0,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89.0,68.0,49,24,22,8.0,4.0,14.0,9.0,10.0,2020
Bernardo Mota Veiga de Carvalho e Silva,173,64,24,87,90,CAM,Portugal,85,78.0,51.0,86.0,69.0,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85.0,68.0,49,59,40,9.0,10.0,14.0,12.0,9.0,2020
Ángel Fabián Di María Hernández,180,69,31,86,86,RM,Argentina,86,76.0,51.0,83.0,77.0,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86.0,73.0,41,55,52,10.0,7.0,11.0,12.0,11.0,2020
Leonardo Bonucci,190,85,32,86,86,RCB,Italy,44,48.0,84.0,77.0,58.0,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74.0,70.0,90,86,80,2.0,2.0,3.0,2.0,4.0,2020
Wojciech Tomasz Szczęsny,195,90,29,86,88,GK,Poland,12,12.0,16.0,32.0,14.0,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48.0,18.0,20,13,12,85.0,82.0,73.0,86.0,88.0,2020
Ciro Immobile,185,85,29,86,86,ST,Italy,55,87.0,81.0,74.0,85.0,83,70,51,49,83,76,83,75,87,63,86,77,79,73,80,77,40,91,65.0,78.0,34,33,32,6.0,8.0,15.0,12.0,6.0,2020
Francisco Román Alarcón Suárez,176,79,27,86,87,LW,Spain,78,79.0,55.0,84.0,67.0,92,88,76,80,93,74,68,85,76,90,69,61,62,59,84,58,61,79,87.0,76.0,58,64,51,10.0,8.0,12.0,15.0,6.0,2020
Marco Verratti,165,60,26,86,89,LCM,Italy,75,60.0,55.0,90.0,64.0,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87.0,64.0,78,82,83,12.0,12.0,15.0,15.0,10.0,2020
Samuel Yves Umtiti,182,75,25,86,89,LCB,France,61,51.0,79.0,80.0,65.0,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58.0,61.0,87,88,85,15.0,10.0,14.0,12.0,15.0,2020
Joshua Walter Kimmich,176,73,24,86,88,CDM,Germany,91,66.0,74.0,87.0,67.0,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84.0,44.0,78,80,79,8.0,15.0,7.0,15.0,15.0,2020
Leroy Aziz Sané,183,75,23,86,92,LW,Germany,83,81.0,72.0,80.0,85.0,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82.0,71.0,36,32,35,8.0,12.0,9.0,9.0,14.0,2020
Blaise Matuidi,180,75,32,85,85,LM,France,74,60.0,68.0,83.0,72.0,76,60,52,77,79,77,73,83,84,79,78,84,90,74,67,86,86,72,74.0,56.0,85,84,86,8.0,11.0,5.0,10.0,14.0,2020
Gareth Frank Bale,185,82,29,85,85,RM,Wales,86,84.0,84.0,81.0,85.0,83,90,87,80,84,90,91,79,80,65,92,86,73,80,90,65,59,85,79.0,76.0,54,55,52,15.0,15.0,11.0,5.0,6.0,2020
Axel Witsel,186,81,30,85,85,LCM,Belgium,69,71.0,81.0,89.0,77.0,78,69,68,84,84,67,77,76,85,67,78,77,82,82,74,79,80,75,80.0,76.0,82,85,83,5.0,7.0,7.0,10.0,7.0,2020
Péter Gulácsi,192,86,29,85,86,GK,Hungary,16,10.0,23.0,29.0,10.0,19,18,11,25,25,42,44,41,82,42,61,67,35,74,12,34,23,11,42.0,24.0,25,16,20,84.0,86.0,81.0,84.0,86.0,2020
Romelu Lukaku Menama,190,94,26,85,86,ST,Belgium,72,84.0,85.0,75.0,77.0,78,78,66,71,70,64,84,55,84,46,87,71,75,95,74,71,27,86,73.0,78.0,30,30,30,8.0,15.0,14.0,7.0,10.0,2020
Iago Aspas Juncal,176,67,31,85,85,SUB,Spain,80,88.0,78.0,79.0,83.0,86,80,76,68,85,80,76,87,85,72,79,66,71,60,82,63,39,86,79.0,82.0,39,21,18,12.0,16.0,9.0,12.0,13.0,2020
Konstantinos Manolas,189,83,28,85,86,LCB,Greece,27,25.0,80.0,60.0,16.0,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22.0,26.0,87,87,89,8.0,6.0,8.0,15.0,12.0,2020
Jorge Resurrección Merodio,176,74,27,85,85,SUB,Spain,86,72.0,61.0,89.0,56.0,82,85,76,87,85,70,67,71,87,80,84,63,92,75,81,79,79,82,85.0,59.0,74,78,64,14.0,12.0,5.0,10.0,13.0,2020
David Olatukunbo Alaba,180,78,27,85,86,LM,Austria,82,63.0,74.0,82.0,68.0,79,78,85,79,82,79,86,78,84,78,85,83,85,74,80,69,82,76,77.0,79.0,80,80,80,5.0,7.0,14.0,15.0,9.0,2020
James David Rodríguez Rubio,180,75,27,85,85,CAM,Colombia,90,83.0,62.0,86.0,90.0,85,89,86,83,90,57,54,80,84,76,86,46,65,64,92,60,55,80,86.0,81.0,52,41,44,15.0,15.0,15.0,5.0,14.0,2020
Raphaël Varane,191,81,26,85,90,RCB,France,36,40.0,83.0,75.0,42.0,55,46,52,76,77,79,86,63,83,38,52,79,72,86,53,77,82,44,59.0,43.0,87,86,85,11.0,11.0,9.0,5.0,14.0,2020
Daniel Carvajal Ramos,173,73,27,85,86,RB,Spain,84,41.0,70.0,83.0,34.0,78,74,47,74,84,79,83,80,84,82,68,77,90,74,36,84,83,75,74.0,45.0,83,83,85,13.0,13.0,15.0,9.0,15.0,2020
Saúl Ñíguez Esclápez,184,77,24,85,89,LCM,Spain,69,78.0,83.0,85.0,76.0,81,72,60,83,85,71,70,73,82,69,82,78,87,77,81,69,79,82,82.0,55.0,77,78,77,7.0,13.0,12.0,10.0,9.0,2020
Niklas Süle,195,97,23,85,90,RCB,Germany,34,22.0,86.0,78.0,33.0,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40.0,32.0,85,89,87,15.0,7.0,14.0,7.0,15.0,2020
Bruno Miguel Borges Fernandes,179,69,24,85,88,RCM,Portugal,86,77.0,58.0,86.0,86.0,85,86,87,87,87,79,76,78,84,79,89,72,92,67,88,70,73,81,88.0,87.0,66,64,57,12.0,14.0,15.0,8.0,14.0,2020
Andrew Robertson,178,64,25,85,89,LB,Scotland,89,57.0,63.0,79.0,32.0,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77.0,55.0,81,83,80,11.0,8.0,10.0,7.0,14.0,2020
Frenkie de Jong,180,74,22,85,91,LDM,Netherlands,75,64.0,66.0,90.0,69.0,88,84,64,86,89,80,78,84,87,79,68,76,82,74,62,72,81,70,86.0,45.0,75,75,77,7.0,13.0,10.0,10.0,9.0,2020
Gianluigi Donnarumma,196,90,20,85,92,GK,Italy,12,12.0,12.0,34.0,8.0,28,12,14,24,28,46,54,64,79,38,56,72,34,72,18,30,26,14,50.0,24.0,20,14,16,90.0,80.0,74.0,80.0,90.0,2020
Rodrigo Hernández Cascante,191,82,23,85,90,SUB,Spain,63,64.0,75.0,85.0,59.0,76,65,54,82,82,68,66,69,82,72,74,69,84,80,76,76,84,75,82.0,46.0,82,84,78,10.0,10.0,7.0,14.0,8.0,2020
Matthijs de Ligt,189,89,19,85,93,RCB,Netherlands,52,50.0,85.0,76.0,40.0,66,48,55,74,74,61,72,56,83,60,82,84,77,88,64,82,82,44,63.0,40.0,86,82,80,12.0,11.0,11.0,12.0,10.0,2020
Kléper Laveran de Lima Ferreira,188,81,36,84,84,RCB,Portugal,46,46.0,82.0,71.0,23.0,58,44,47,61,62,64,70,63,82,48,63,88,82,83,56,92,84,40,48.0,57.0,86,85,82,8.0,15.0,5.0,9.0,10.0,2020
João Filipe Iria Santos Moutinho,170,61,32,84,84,SUB,Portugal,81,73.0,70.0,87.0,76.0,81,84,81,85,85,60,53,75,76,85,76,72,78,60,79,71,72,74,86.0,70.0,71,72,67,13.0,15.0,15.0,13.0,13.0,2020
Salvatore Sirigu,192,80,32,84,84,SUB,Italy,13,10.0,11.0,23.0,12.0,15,11,11,28,18,50,51,52,79,55,57,68,34,66,14,34,20,10,55.0,19.0,14,11,13,84.0,80.0,76.0,84.0,82.0,2020
Sokratis Papastathopoulos,186,85,31,84,84,RCB,Greece,47,44.0,85.0,65.0,46.0,58,29,35,54,60,66,76,54,81,64,77,86,69,87,48,88,76,49,45.0,24.0,85,86,86,6.0,8.0,5.0,12.0,5.0,2020
Yann Sommer,183,79,30,84,84,GK,Switzerland,13,13.0,10.0,40.0,8.0,15,12,13,31,25,48,54,55,81,58,61,73,45,68,12,38,21,15,58.0,24.0,9,19,12,79.0,85.0,81.0,80.0,87.0,2020
Georginio Wijnaldum,175,69,28,84,84,CAM,Netherlands,69,70.0,74.0,85.0,73.0,85,76,67,79,85,79,76,81,83,84,78,79,93,72,71,74,78,78,78.0,74.0,76,78,69,16.0,6.0,14.0,12.0,6.0,2020
Arturo Erasmo Vidal Pardo,180,75,32,84,84,LCM,Chile,76,75.0,82.0,82.0,78.0,76,76,68,81,83,68,67,73,86,75,84,85,86,83,82,93,85,83,82.0,81.0,82,87,88,4.0,2.0,4.0,2.0,4.0,2020
César Azpilicueta Tanco,178,76,29,84,84,SUB,Spain,81,46.0,75.0,80.0,51.0,69,68,58,80,77,73,68,72,86,73,68,77,83,70,60,84,86,62,74.0,66.0,85,87,86,13.0,9.0,10.0,6.0,5.0,2020
İlkay Gündoğan,180,80,28,84,84,LCM,Germany,78,71.0,50.0,88.0,75.0,84,85,74,85,88,67,66,77,85,77,77,61,71,73,74,70,77,78,86.0,76.0,75,74,67,11.0,14.0,5.0,5.0,13.0,2020
Kyle Walker,183,70,29,84,84,RB,England,81,51.0,74.0,78.0,57.0,79,76,71,75,78,87,94,66,83,70,86,83,89,77,69,78,81,68,69.0,63.0,78,84,83,12.0,6.0,16.0,15.0,8.0,2020
Sergio Canales Madrazo,176,65,28,84,84,SUB,Spain,79,80.0,46.0,84.0,63.0,82,81,79,82,83,77,78,77,81,70,78,35,77,67,81,55,50,83,87.0,72.0,60,47,43,15.0,12.0,16.0,13.0,12.0,2020
Luís Miguel Afonso Fernandes,177,72,29,84,84,SUB,Portugal,81,76.0,45.0,86.0,77.0,81,83,76,85,83,82,73,77,83,77,76,67,85,59,78,68,70,84,86.0,80.0,66,66,52,15.0,14.0,9.0,9.0,15.0,2020
Stefan de Vrij,189,78,27,84,85,SUB,Netherlands,49,25.0,80.0,73.0,27.0,66,45,16,71,71,65,66,62,81,59,65,76,62,78,60,78,85,32,64.0,41.0,88,87,84,8.0,10.0,7.0,14.0,13.0,2020
Josip Iličić,190,79,31,84,84,RM,Slovenia,82,81.0,58.0,86.0,80.0,88,85,85,74,88,72,69,71,83,61,88,33,70,72,89,58,46,83,87.0,78.0,53,32,26,13.0,13.0,8.0,12.0,6.0,2020
Memphis Depay,176,78,25,84,88,ST,Netherlands,83,78.0,65.0,80.0,74.0,84,85,88,74,85,87,87,81,79,79,87,74,79,80,81,75,28,83,85.0,71.0,29,31,20,8.0,14.0,6.0,12.0,10.0,2020
Serge David Gnabry,175,75,23,84,87,RW,Germany,76,81.0,44.0,79.0,83.0,87,70,62,69,83,92,89,86,82,88,86,64,74,69,81,63,38,82,77.0,68.0,45,42,45,14.0,10.0,10.0,9.0,7.0,2020
Kepa Arrizabalaga Revuelta,186,85,24,84,89,SUB,Spain,25,11.0,18.0,51.0,18.0,10,25,19,53,16,34,33,41,78,39,65,71,37,51,14,18,21,15,57.0,24.0,19,18,16,84.0,82.0,86.0,80.0,85.0,2020
Leon Christoph Goretzka,189,79,24,84,88,RCM,Germany,75,76.0,80.0,84.0,68.0,81,76,75,79,84,84,78,76,84,70,79,74,86,75,83,80,79,79,82.0,60.0,72,74,73,13.0,8.0,15.0,11.0,9.0,2020
João Pedro Cavaco Cancelo,182,74,25,84,89,SUB,Portugal,86,58.0,68.0,81.0,62.0,85,82,69,75,84,89,90,82,84,79,80,72,92,60,68,73,78,78,78.0,46.0,79,80,80,6.0,9.0,15.0,14.0,14.0,2020
Bamidele Alli,188,80,23,84,89,LCM,England,68,82.0,83.0,84.0,79.0,83,75,68,80,86,68,76,75,86,62,78,71,89,72,80,84,74,88,83.0,74.0,70,70,63,7.0,6.0,9.0,11.0,8.0,2020
Julian Brandt,185,83,23,84,88,SUB,Germany,78,79.0,53.0,86.0,78.0,86,77,59,80,86,78,86,81,83,78,81,63,78,74,80,43,39,80,84.0,54.0,39,42,29,11.0,16.0,11.0,8.0,9.0,2020
Kingsley Junior Coman,179,75,23,84,88,SUB,France,79,76.0,52.0,78.0,77.0,87,84,70,72,87,94,91,88,84,85,80,73,69,64,73,36,23,83,79.0,70.0,29,27,21,5.0,3.0,5.0,3.0,5.0,2020
Lucas François Bernard Hernández Pi,182,76,23,84,89,LB,France,78,53.0,82.0,79.0,46.0,65,59,39,63,79,79,83,70,85,68,62,85,83,79,51,86,83,62,63.0,42.0,81,84,86,10.0,7.0,8.0,14.0,10.0,2020
Ousmane Dembélé,178,67,22,84,90,SUB,France,84,79.0,43.0,82.0,76.0,89,82,64,76,85,94,93,89,78,83,83,59,69,52,78,54,36,78,78.0,75.0,42,30,33,6.0,6.0,14.0,10.0,13.0,2020
Jadon Sancho,180,76,19,84,92,RW,England,78,78.0,37.0,83.0,80.0,92,81,48,59,88,89,87,91,84,90,68,51,77,59,62,43,29,78,83.0,57.0,32,45,34,7.0,11.0,10.0,11.0,13.0,2020
Kai Lukas Havertz,188,83,20,84,92,SUB,Germany,73,81.0,74.0,85.0,80.0,84,79,53,78,87,77,89,78,82,73,73,69,82,65,75,41,38,83,82.0,69.0,39,46,38,6.0,8.0,11.0,10.0,12.0,2020
Jiří Pavlenka,196,81,27,84,86,SUB,Czech Republic,11,16.0,14.0,28.0,19.0,12,10,14,17,19,35,37,39,82,27,53,36,20,68,17,22,13,14,25.0,18.0,12,10,14,86.0,79.0,70.0,80.0,88.0,2020
Rune Almenning Jarstein,190,86,34,83,83,GK,Norway,18,13.0,16.0,34.0,16.0,11,10,14,34,23,40,46,35,76,45,57,59,31,70,18,34,19,15,37.0,13.0,12,11,13,79.0,82.0,76.0,86.0,84.0,2020
